,price,sentiment,sentiment_lag_1
2025-01-02,138.2721710205078,0.003844631754833719,
2025-01-03,144.4304962158203,0.03868912873060807,0.003844631754833719
2025-01-06,149.38912963867188,0.3654302755991618,0.03868912873060807
2025-01-07,140.10166931152344,0.22173465887705485,0.3654302755991618
2025-01-08,140.0717010498047,0.07961074872450395,0.22173465887705485
2025-01-10,135.8728485107422,0.3368195051496679,0.07961074872450395
2025-01-13,133.19357299804688,0.007969012627234826,0.3368195051496679
2025-01-14,131.72396850585938,0.15184868465770374,0.007969012627234826
2025-01-15,136.2027587890625,0.17711457184382848,0.15184868465770374
2025-01-16,133.53347778320312,0.17380820214748383,0.17711457184382848
2025-01-17,137.67234802246094,0.3983923455943232,0.17380820214748383
2025-01-21,140.79148864746094,0.20071705250904479,0.3983923455943232
2025-01-22,147.02981567382812,0.22992171912357726,0.20071705250904479
2025-01-23,147.17974853515625,0.0988103632743542,0.22992171912357726
2025-01-24,142.58099365234375,0.08986752284200568,0.0988103632743542
2025-01-27,118.38761138916016,0.10974247818407805,0.08986752284200568
2025-01-28,128.95472717285156,0.4143133401870728,0.10974247818407805
2025-01-29,123.66617584228516,0.09116840362548828,0.4143133401870728
2025-01-30,124.61592102050781,0.29698461294174194,0.09116840362548828
2025-01-31,120.03717041015625,0.16928317546844482,0.29698461294174194
2025-02-03,116.62810516357422,0.28468708745364485,0.16928317546844482
2025-02-04,118.6175537109375,0.004042999310926957,0.28468708745364485
2025-02-05,124.79586791992188,0.2097509279847145,0.004042999310926957
2025-02-06,128.6448211669922,0.15184868465770374,0.2097509279847145
2025-02-07,129.80447387695312,0.33417099714279175,0.15184868465770374
2025-02-10,133.53347778320312,0.05476485565304756,0.33417099714279175
2025-02-11,132.76370239257812,0.29593810013362337,0.05476485565304756
2025-02-12,131.10414123535156,0.222146233687034,0.29593810013362337
2025-02-13,135.25299072265625,-0.1544761598110199,0.222146233687034
2025-02-14,138.81202697753906,0.1444002204927905,-0.1544761598110199
2025-02-18,139.36187744140625,-0.04642616957426071,0.1444002204927905
2025-02-19,139.1919403076172,-0.02851987600326538,-0.04642616957426071
2025-02-20,140.0717010498047,0.2480767082284998,-0.02851987600326538
2025-02-21,134.3932342529297,0.14233353237311044,0.2480767082284998
2025-02-24,130.244384765625,0.1076766699552536,0.14233353237311044
2025-02-25,126.59537506103516,0.16781805753707885,0.1076766699552536
2025-02-26,131.24411010742188,0.1577548123896122,0.16781805753707885
2025-02-27,120.11714935302734,0.08986752284200568,0.1577548123896122
2025-02-28,124.8858413696289,0.05381669104099274,0.08986752284200568
2025-03-03,114.02880859375,0.14847375452518463,0.05381669104099274
2025-03-04,115.95829010009766,0.2632260322570801,0.14847375452518463
2025-03-05,117.26792907714844,0.3371814732198362,0.2632260322570801
2025-03-06,110.53976440429688,0.1525618704882535,0.3371814732198362
2025-03-07,112.65919494628906,-0.053058479513440816,0.1525618704882535
2025-03-10,106.95074462890625,0.3181190834595607,-0.053058479513440816
2025-03-11,108.73026275634766,0.16632696688175203,0.3181190834595607
2025-03-12,115.71900177001953,0.12788388362297645,0.16632696688175203
2025-03-13,115.55902862548828,0.006093950832591337,0.12788388362297645
2025-03-14,121.64791870117188,0.05476485565304756,0.006093950832591337
2025-03-17,119.50830841064453,0.35011003338373625,0.05476485565304756
2025-03-18,115.4090576171875,0.0018313974142074585,0.35011003338373625
2025-03-19,117.49867248535156,0.20601237937808037,0.0018313974142074585
2025-03-20,118.50848388671875,0.1385625178615252,0.20601237937808037
2025-03-21,117.67863464355469,0.29832244461232965,0.1385625178615252
2025-03-24,121.38796997070312,0.37733806534246966,0.29832244461232965
2025-03-25,120.66809844970703,0.16830643018086752,0.37733806534246966
2025-03-26,113.7393569946289,0.27470481644074124,0.16830643018086752
2025-03-27,111.40977478027344,0.2524266839027405,0.27470481644074124
2025-03-28,109.65009307861328,0.31840717130237156,0.2524266839027405
2025-03-31,108.3603286743164,0.2734622408946355,0.31840717130237156
2025-04-01,110.13001251220703,0.3189557677223569,0.2734622408946355
2025-04-02,110.39995574951172,0.2511444143627001,0.3189557677223569
2025-04-03,101.78153228759766,0.41251109706030953,0.2511444143627001
2025-04-04,94.29288482666016,0.2343591025897435,0.41251109706030953
2025-04-07,97.62227630615234,0.238992935135251,0.2343591025897435
2025-04-08,96.28252410888672,0.15910431033089048,0.238992935135251
2025-04-09,114.30925750732422,0.16047829848069411,0.15910431033089048
2025-04-10,107.55047607421875,0.004548013210296631,0.16047829848069411
2025-04-11,110.90986633300781,0.12019414277303786,0.004548013210296631
2025-04-14,110.68990325927734,0.041826874017715454,0.12019414277303786
2025-04-15,112.17963409423828,0.13360606431961058,0.041826874017715454
2025-04-16,104.47103881835938,0.4420384397873512,0.13360606431961058
2025-04-17,101.47157287597656,0.10971989320672076,0.4420384397873512
2025-04-21,96.89241790771484,0.12300957952226911,0.10971989320672076
2025-04-22,98.8720474243164,0.20124017781224743,0.12300957952226911
2025-04-23,102.69136047363281,0.09486016299989489,0.20124017781224743
2025-04-24,106.41067504882812,0.26432344913482664,0.09486016299989489
2025-04-25,110.98986053466797,0.2651671533073698,0.26432344913482664
2025-04-28,108.71026611328125,0.3225635190804799,0.2651671533073698
2025-04-29,109.00021362304688,0.3576792685881905,0.3225635190804799
2025-04-30,108.90023040771484,-0.08050478759564851,0.3576792685881905
2025-05-01,111.5897445678711,0.1352141813228005,-0.08050478759564851
2025-05-02,114.4792251586914,0.11826316799436297,0.1352141813228005
2025-05-05,113.79934692382812,0.10976506316143533,0.11826316799436297
